8,27,How do I read / download webpage content?,url,bufferedreader,bufferedwriter,malformedurlexception,inputstreamreader
7,27,How do I get data types supported by database?,databasemetadata,connection,resultset,drivermanager
8,18,How do I print a file using the default registered application?,desktop,file
1,16,How do I turn the Num Lock button on?,toolkit,keyevent
6,15,Instantiate unknown class at runtime and call the object’s methods,class,method
5,15,XML How to Add CDATA data ,element,cdatasection,document,documentbuilderfactory,transformerfactory
10,23,JavaFX Creating a Sprite Animation,interpolator,transition,imageview,duration
5,13,How do I format a number with leading zeros?,numberformat,decimalformat
5,11,Append string to a text file,printstream,bufferedoutputstream,fileoutputstream,file
5,28,Check if an image is readable,image,imageicon
9,22,how to read ISO Latin-1 Encoded Data,bufferedreader,inputstreamreader,fileinputstream
8,11,How to Create Text move animation,pane,scene,keyvalue,keyframe,timeline,application,vpos,stage,font
4,22,Handle Shape drag and drop events,application,group,scene,circle,line,setstrokelinecap
8,8,JavaFX - centered Text in Scene,StackPane,Text,,,,,,,,,
1,1,Running a bash shell script in java,Process,Runtime,ProcessBuilder,,,,,,,,
1,1,Replace grouping separator of DecimalFormat in formatted value,DecimalFormat,,,,,,,,,,
5,5,hashmap and arraylist connected,HashMap,,,,,,,,,,
7,7,Java time format for time zone,SimpleDateFormat,DateTimeFormatter,,,,,,,,,
2,2,How to execute a Thread for specific number of times,Thread,,,,,,,,,,
6,6,Call Subclasses' Method Depending on Object Type in Java,Parent,Node,,,,,,,,,
3,3,best way to paginate?,List,,,,,,,,,,
6,6,Why is my download progress bar firing the same event multiple times?,SwingWorker,,,,,,,,,,
2,2,mouseEntered will not execute,MouseAdapter,,,,,,,,,,
7,7,Java: manage multiple processes simultaneously,ExecutorService,Process,,,,,,,,,
3,3,Replacing a single character of a string,String,,,,,,,,,,
1,1,How to locate the end of the line in regex?,Pattern,,,,,,,,,,
4,4,How to use Timestamp constructor,Timestamp,,,,,,,,,,
3,3,Weird behavior of java.util.Set.contains(Object o),HashSet,Object,,,,,,,,,
2,2,Skip first few words of a string when counting words in a text file,String,,,,,,,,,,
7,7,Why a same JComponent object cannot be displayed when added more than once?,Component,,,,,,,,,,
1,1,Determining the hour in daylight saving time,Date,Instant,,,,,,,,,
3,3,When is hashcode useful if I am never using hashtable?,Object,,,,,,,,,,
2,2,JavaFX load image memory problems,Image,,,,,,,,,,
1,1,"Convert Timestamps represent seconds since midnight Coordinated Universal Time (UTC) of January 1, 1970. to Date?",Date,,,,,,,,,,
1,1,"""socket closed"" error when I try to send/receive a jxrpc over a socket stream",Socket,,,,,,,,,,
1,1,How to make a JList filling JPanel,JList,ComponentListener,JComponent,Math,,,,,,,
1,1,How do I replace chars according to position using an index loop,String,,,,,,,,,,
1,1,Java: date difference,Calendar,Month,package-summary,Date,SimpleDateFormat,,,,,,
5,5,ConcurrentModification with List<List<>>,ArrayList,,,,,,,,,,
3,3,Java Map with multiple keys,Map,MultiMap,,,,,,,,,
1,1,Attempting to override existing comparator for PriorityQueue in Java,PriorityQueue,,,,,,,,,,
1,1,Sorting Priority Queue in Java,PriorityQueue,,,,,,,,,,
1,1,Java regex breaking on quotation-mark-containing string,String,Pattern,,,,,,,,,
1,1,instance of CompletableFuture cannot get expected result,CompletableFuture,ForkJoinPool,,,,,,,,,
1,1,How to Union List<Date> list1 and List<Date> list2 in Java?,package-summary,Date,Instant,TemporalUnit,ChronoUnit,TreeSet,Set,SortedSet,List,Calendar,SimpleDateFormat
3,3,"AffineTransformOp.filter strange behavior when rotating by non 0,90,180,270 degrees",AffineTransform,,,,,,,,,,
1,1,Java BufferedImage to ByteArrayOutputStream without close ByteArrayOutputStream,ByteArrayOutputStream,OutputStream,,,,,,,,,
6,6,JavaFx: Listener and/or binding handling,ObservableValue,,,,,,,,,,
3,3,How to properly format sum code?,String,,,,,,,,,,
1,1,Cause of java.util.concurrent.BrokenBarrierException,CyclicBarrier,CopyOnWriteArrayList,,,,,,,,,
4,4,File turns to folder,File,,,,,,,,,,
2,2,Java Swing JMenuItem intercepts its accelerator key even entered into a JTextField component,KeyStroke,,,,,,,,,,
3,3,Getting total amount in a column,String,,,,,,,,,,
4,4,What's wrong with using Inheritance Equality in Java?,Object,,,,,,,,,,
4,4,What is the difference between getTimeInMilis() and .getTime().getTime()?,Calendar,,,,,,,,,,
8,8,Get the alphanumeric month value for a timezone enabled DateTime instance,DateFormat,package-summary,ZoneId,ZonedDateTime,Month,Locale,Instant,OffsetDateTime,,,
1,1,Increment in month value in Date class in Java,Date,,,,,,,,,,
1,1,How to deal with many different insets for GridBagConstraints?,EnumMap,GridBagConstraints,,,,,,,,,
2,2,HashMap Not Calling Object.equals?,Object,,,,,,,,,,
4,4,String's replace all is replacing none,String,Pattern,,,,,,,,,
1,1,Add actions to JPopupMenu options,JPopupMenu,AbstractButton,,,,,,,,,
4,4,How do I put only unique values into an array?,Set,HashSet,,,,,,,,,
1,1,localdatetime to zoneddatetime,ZonedDateTime,Instant,Timestamp,PreparedStatement,LocalDateTime,,,,,,
5,5,java.util.NoSuchElementException Reattempt,Scanner,,,,,,,,,,
2,2,Is this dictionary function thread-safe (ConcurrentHashMap+AtomicInteger)?,ConcurrentMap,package-summary,ConcurrentHashMap,,,,,,,,
1,1,How to write encoded text to a file using Java?,Base64.Encoder,FileOutputStream,binary,,,,,,,,
1,1,Convert Arraylist<subclass> to ArrayList<parent>,ArrayList,,,,,,,,,,
1,1,How do you transform a CompletableFuture of one type to another?,CompletableFuture,,,,,,,,,,
2,2,Using nextLine and next,Scanner,InputMismatchException,,,,,,,,,
3,3,Moving ArrayList element to the last position in the List?,ArrayList,List,,,,,,,,,
1,1,SwingWorker doesnt run doInBackground properly,SwingWorker,StringBuilder,,,,,,,,,
1,1,How to know ASCII / UTF code of emojis?,String,Character,,,,,,,,,
1,1,Future waiting for FixedThreadPool is returning before all Threads finish,ExecutorService,,,,,,,,,,
2,2,"Split string by space, Java",Pattern,String,Matcher,,,,,,,,
6,6,Select highest data from value using key of a map - Java,LocalDate,YearMonth,Map,BiFunction,DateTimeFormatter,,,,,,
6,6,Jaxb API Listener,Unmarshaller.Listener,Marshaller.Listener,Marshaller,,,,,,,,
1,1,modal parentless JDialog does not grab focus,Dialog.ModalityType,JDialog,,,,,,,,,
1,1,Can't invoke HashMap's getEntry via reflection on Java 8,HashMap,,,,,,,,,,
6,6,Optimizing number of threads dynamically,ThreadPoolExecutor,Executors,ExecutorService,,,,,,,,
7,7,Constructing a sequence of bits in java,BitSet,FileOutputStream,,,,,,,,,
7,7,Java 2D Rendering Ripple Artifacts,RenderingHints,,,,,,,,,,
4,4,why this reference is AppClassLoader rather than MyClassLoader when invoke loadClass method at the first time,ClassLoader,,,,,,,,,,
4,4,I keep receiving java.awt.print.PrinterException: Paper's imageable height is too small,PrinterJob,,,,,,,,,,
5,5,"Adding *copies* of entries from Java Map<String, Object> propertyMap",Map,,,,,,,,,,
4,4,StringIndexOutOfBoundsException while loop with charat(),String,,,,,,,,,,
2,2,ArrayList contains another ArrayList,ArrayList,AbstractCollection,,,,,,,,,
1,1,Testing For Two Pairs In a Given String,String,,,,,,,,,,
9,9,Does break statement make my code faster?,Set,HashSet,,,,,,,,,
2,2,When does a set allow duplicates?,Set,Object,,,,,,,,,
1,1,Iterator isEmpty() call causing noSuchElement exception?,Iterator,HashMap,,,,,,,,,
1,1,Do we need to override hashcode method?,Object,,,,,,,,,,
4,4,Single quote missing in query,PreparedStatement,,,,,,,,,,
1,1,Parse CIM_DateTime with milliseconds to Java Date,package-summary,DateTimeFormatter,OffsetDateTime,Date,Instant,,,,,,
1,1,JavaFX .setStyle(...) isn't not working when `-fx-background-image` changes,StackPane,ImageView,Region,Background,,,,,,,
1,1,Why is the internal data of BitSet in java stored as long[] instead of int[] in Java?,BitSet,,,,,,,,,,
1,1,"The Subclass of java.util.TreeMap gives NullPointerException on call put(key, value) method",TreeMap,,,,,,,,,,
8,8,how to remove a specific element from queue in java(not priority queue),Queue,LinkedList,,,,,,,,,
8,8,IllegalArgumentException when passing in a class which implements an interface in java reflect,Method,,,,,,,,,,
1,1,ScheduledExecutorService with variable delay,ScheduledExecutorService,,,,,,,,,,
3,3,What is the easiest way to get a formatted string from a calendar object which respects timezone?,package-summary,Calendar,DateTimeFormatter,Locale,Formatter,,,,,,
7,7,How to get the index of an item in an array,ArrayList,,,,,,,,,,
6,6,"MyClass.class.getClassLoader().getResource("""").getPath() throws NullPointerException",ClassLoader,,,,,,,,,,
10,10,Is Atomic Integer incrementAndGet() thread safe?,AtomicLong,package-summary,,,,,,,,,
1,1,CardLayout using JMenu sending error messages,CardLayout,,,,,,,,,,
3,3,Java Swing JFrame Layout,LayoutManager,JFrame,,,,,,,,,
5,5,Sorting array with delimited values,Arrays,Comparator,,,,,,,,,
7,7,Why do I have the wrong number of arguments when calling main through reflection?,Method,,,,,,,,,,
2,2,passing lambda as method arg and sorting map,Function,Collectors,Comparator,BiFunction,ToIntBiFunction,,,,,,
10,10,Remember last value returned from a JDK 8 lambda,DoubleStream,,,,,,,,,,
2,2,Iterate through all files in Java,Files,FileVisitor,,,,,,,,,
2,2,Differnce between addfirst and offerFirst methods in ArrayDeque,Deque,LinkedBlockingDeque,,,,,,,,,
4,4,sort descendingly based on multiple parameters in Java,Collections,Comparator,,,,,,,,,
1,1,How to clean ThreadLocal's data when the Thread's task is done,ThreadLocal,,,,,,,,,,
1,1,How to resolve the accuracy error with floating point arithmetic,Math,,,,,,,,,,
2,2,How to maintain multiple SQL database connections in a single Java file?,Connection,,,,,,,,,,
1,1,Set the initial capacity of ArrayList of ArrayLists,ArrayList,,,,,,,,,,
2,2,"contains() method present in java.lang.String doesnot behave properly for some scenarios,Could anyone please explain this behavior",String,,,,,,,,,,
3,3,Resize Popup of a Combobox,JComboBox,,,,,,,,,,
2,2,Get char from multi-string array,String,StringBuilder,,,,,,,,,
1,1,JTable Swing retrieve data,JTable,,,,,,,,,,
1,1,How to write large binary data fast in Java?,Double,ByteBuffer,WritableByteChannel,Files,,,,,,,
3,3,"Java, set field value with reflection",Field,,,,,,,,,,
4,4,Read a specific byte from binary file,RandomAccessFile,FileInputStream,,,,,,,,,
1,1,How locale dependent is SimpleDateFormat?,Locale,,,,,,,,,,
2,2,Why does ExecutorService.invokeAll() return a List of Future?,ExecutorService,,,,,,,,,,
1,1,Java 8 LocalDateTime today at specific hour,LocalDate,Clock,LocalDateTime,,,,,,,,
1,1,Java how to use ListIterator for Queue?,Stack,List,Queue,ListIterator,LinkedList,Deque,ArrayDeque,ConcurrentLinkedDeque,LinkedBlockingDeque,,
1,1,"java.util.HashMap get: does key have to be exactly the same object as what is stored in the HashMap, or can the keys just be ""equal""",HashMap,,,,,,,,,,
1,1,Time consistency issue with ScheduledExecutorService in Java,ScheduledExecutorService,ScheduledFuture,Future,,,,,,,,
2,2,how to replace some chars in the string with other chars by the user?,String,,,,,,,,,,
1,1,JOptionPane using JPanel,JOptionPane,,,,,,,,,,
3,3,read in from a text file and split to two string to be able to pass to,String,,,,,,,,,,
1,1,"Throwing an exception without ""Exception in thread...""",Thread,,,,,,,,,,
2,2,Random generator giving me the same number everytime,Random,,,,,,,,,,
1,1,Using the Comparable Object with min/max heaps,Comparable,,,,,,,,,,
2,2,"How can I optimize this HashMap with 42,000 keys",Map,,,,,,,,,,
3,3,Way to make this HashMap more efficient,HashMap,Comparable,Collections,,,,,,,,
1,1,Very small simple precision and double precision float numbers representation,BigDecimal,Double,,,,,,,,,
1,1,When to use CharSequence in an API,CharSequence,StringBuffer,,,,,,,,,
2,2,Java generics puzzler with generic static factory,Object,,,,,,,,,,
5,5,Working with files in java,PrintWriter,FileWriter,File,InputStreamReader,OutputStreamWriter,,,,,,
1,1,How to watch multiple directories with WatchService?,Path,WatchService,WatchKey,,,,,,,,
1,1,Best Way to Set Day to the First of the Month Using DateTime Without Inherent WithDayOfMonth Method,LocalDate,TemporalAdjuster,TemporalAdjusters,package-summary,Date,Calendar,SimpleDateFormat,,,,
2,2,How can I convert String to Double without losing precision in Java?,BigDecimal,DecimalFormatSymbols,PrintStream,DecimalFormat,,,,,,,
1,1,SSLSocket used ciphersuite,SSLSession,SSLSocket,,,,,,,,,
2,2,java.util.ConcurrentModificationException with custom ArrayList,ArrayList,List,,,,,,,,,
3,3,Collection Implementation to Block null elements being added,TreeSet,,,,,,,,,,
2,2,Input mismatch when reading double from file,Scanner,,,,,,,,,,
1,1,Java negative bigdecimal value with braces,BigDecimal,DecimalFormat,,,,,,,,,
4,4,Why is the index of an object in a two-dimensional array returning -1?,Arrays,,,,,,,,,,
6,6,Java How to implement lock on ConcurrentHashMap read,ReentrantLock,,,,,,,,,,
1,1,Get files in a directory sorted by last modified?,File,FileFilter,,,,,,,,,
1,1,Is this synchronization on ConcurrentHashMap correct?,ConcurrentHashMap,,,,,,,,,,
6,6,Replacing an object in a ArrayList,List,,,,,,,,,,
3,3,Exception instead of Compiler Error,String,ArrayIndexOutOfBoundsException,,,,,,,,,
1,1,How the ArrayList add() behaves,ArrayList,,,,,,,,,,
9,9,Generics with params in constructor and call T method,Class,Constructor,,,,,,,,,
2,2,How to format a java.sql Timestamp for displaying?,SimpleDateFormat,,,,,,,,,,
2,2,Spawning too many threads in java,Executors,,,,,,,,,,
2,2,common objects in 2 ArrayList,List,Object,,,,,,,,,
1,1,Java (JDBC) : Alternatives for iteration of query results [ while(resultSet.next()) ],ResultSet,,,,,,,,,,
1,1,Java Timer vs ExecutorService?,ScheduledThreadPoolExecutor,ForkJoinPool,ExecutorService,ThreadPoolExecutor,,,,,,,
3,3,Java - Zip to file dir isue,FileOutputStream,File,,,,,,,,,
6,6,Safe to iterate values collection of hasmap after key removal?,Map.Entry,Map,,,,,,,,,
1,1,Check if timestamp (milli) belongs to a specific day,SimpleDateFormat,Date,,,,,,,,,
1,1,Are Java classes considered to be objects themselves?,Class,ClassLoader,Object,,,,,,,,
9,9,GUI has to wait until splashscreen finishes executing,JProgressBar,,,,,,,,,,
2,2,How can I get TextField from inner stage in JavaFX?,Stage,,,,,,,,,,
3,3,cannot implement run() in Runnable,Thread,,,,,,,,,,
2,2,Why is app shutting down and catch-clause doesnÂ´t catch error?,String,,,,,,,,,,
5,5,Java reading long text file is very slow,StringBuilder,BufferedReader,,,,,,,,,
1,1,What is the type for varchar(10) in a prepared statement query?,PreparedStatement,,,,,,,,,,
6,6,Is it worth using distinct() with collect(toSet()),Stream,,,,,,,,,,
1,1,How will the condition work in JOptionPane?,JOptionPane,,,,,,,,,,
8,8,Java equivalent of Python 'in' - for set membership test?,Set,HashSet,,,,,,,,,
6,6,How to initialize List<String> object in Java?,List,Collections,,,,,,,,,
1,1,Java color opacity,Color,,,,,,,,,,
10,10,Java look up closest previous Date in HashMap,TreeMap,,,,,,,,,,
9,9,Methods that throw an exception that do not require catching,RuntimeException,Long,NumberFormatException,,,,,,,,
3,3,ArrayList into JList using MVC,JList,,,,,,,,,,
2,2,How to check if file name already exists?,File,,,,,,,,,,
5,5,Is it better to use Objects or integers as HashMap keys?,Object,,,,,,,,,,
1,1,How to create a .java file using java?,File,Files,Paths,,,,,,,,
1,1,How do I convert a String to a BigInteger?,BigInteger,,,,,,,,,,
4,4,How default .equals and .hashCode will work for my classes?,Object,,,,,,,,,,
3,3,Set timestamp in Oracle,PreparedStatement,Timestamp,,,,,,,,,
1,1,Difference between URL.openConnection() and URLConnection.connect()?,URLConnection,,,,,,,,,,
6,6,Java won't execute cmd line?,Process,ProcessBuilder,,,,,,,,,
1,1,Java - ArrayList removal of duplicate items,ArrayList,List,,,,,,,,,
1,1,Why does BasicService.getCodeBase() return null when using file:// as URL protocol in the JNLP codebase attribute?,BasicService,,,,,,,,,,
3,3,How to change the background color of each second row?,JTable,,,,,,,,,,
3,3,"Why doesn't my way of using FileChannel, ByteBuffer and CharBuffer work like the other way?",FileChannel,Buffer,,,,,,,,,
2,2,Return/print array,List,,,,,,,,,,
6,6,Out of Memory exception while running multithreaded code,Executors,ForkJoinPool,,,,,,,,,
3,3,"Using an instance of an object as a key in hashmap, and then access it with exactly new object?",Object,,,,,,,,,,
